Name,Title,University
Lynn Batten,Emeritus Professor,Deakin University
Andrzej Goscinski,Emeritus Professor,Deakin University
Jemal Abawajy,Professor,Deakin University
Maia Angelova,Professor,Deakin University
Gleb Beliakov,Professor,Deakin University
Terry Caelli,Professor,Deakin University
Jinho Choi,Professor,Deakin University
Chang-Tsun Li,Professor,Deakin University
Robin Doss,Professor,Deakin University
Peter Eklund,Professor,Deakin University
Seng Loke,Professor,Deakin University
Antonio Robles-Kelly,Professor,Deakin University
Jean-Guy Schneider,Professor,Deakin University
Yong Xiang,Professor,Deakin University
John Yearwood,Professor,Deakin University
Arkady Zaslavsky,Professor,Deakin University
Mohamed Abdelrazek,Associate Professor,Deakin University
Andrew Cain,Associate Professor,Deakin University
Richard Dazeley,Associate Professor,Deakin University
Guangyan Huang,Associate Professor,Deakin University
Gang Li,Associate Professor,Deakin University
Jianxin Li,Associate Professor,Deakin University
Xiao Liu,Associate Professor,Deakin University
Vicky Mak,Associate Professor,Deakin University
Tim Wilkin,Associate Professor,Deakin University
